Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,calib_Dixon,model,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Riker et al. (2015) CMP 170:6,10.1007/s00410-015-1160-5,Rhyolite,"Mount St. Helens, Washington, USA",Synthetic,SIMS,SIMS,EHCS,PSB59,885,3,A,1750,10,A,5.74,0.24,A,248,7,A,74.56,0.41,A,14.08,0.17,A,4.9,0.44,A,0.92,0.23,A,1.67,0.07,A,0.25,0.04,A,1.24,0.19,A,0.08,0.13,A,2.22,0.12,A,0.09,0.04,A,,,ND,3,DNNO,NR,,,,ND,,,ND,F,100.01,74.55254475,7.119288071,diamond,#cc78bc,N,N,N,N,N,MagmaSat,2219,105.6820083,0.875978108,0.011640955,0.124021892,0.011640955
Riker et al. (2015) CMP 170:6,10.1007/s00410-015-1160-5,Rhyolite,"Mount St. Helens, Washington, USA",Synthetic,SIMS,SIMS,EHCS,PSB60,885,3,A,1750,10,A,4.68,0.16,A,379,16,A,76.04,0.28,A,13.43,0.12,A,4.49,0.24,A,0.64,0.15,A,1.46,0.05,A,0.29,0.03,A,1.12,0.06,A,0.03,0.02,A,2.42,0.07,A,0.08,0.04,A,,,ND,2.7,DNNO,NR,,,,ND,,,ND,F,100,76.04,6.91,diamond,#cc78bc,N,N,N,N,N,MagmaSat,1943.1,79.89507007,0.764133288,0.015127516,0.235866712,0.015127516
Riker et al. (2015) CMP 170:6,10.1007/s00410-015-1160-5,Dacite,"Mount St. Helens, Washington, USA",Synthetic,SIMS,SIMS,EHCS,PSB58,885,3,A,2250,10,A,6.63,0.11,A,32,4,A,69.56,0.28,A,16.06,0.19,A,4.86,0.18,A,0.96,0.12,A,3.07,0.06,A,0.32,0.03,A,3.24,0.17,A,0.06,0.06,A,1.77,0.04,A,0.1,0.03,A,,,ND,1.2,DNNO,NR,,,,ND,,,ND,F,100,69.56,6.63,square,#d55e00,N,N,N,N,N,MagmaSat,2347.2,60.67099552,0.987351264,0.001917914,0.012648736,0.001917914
Riker et al. (2015) CMP 170:6,10.1007/s00410-015-1160-5,Dacite,"Mount St. Helens, Washington, USA",Synthetic,SIMS,SIMS,IHPV,PSB62,885,5,A,3500,50,A,8.55,0.12,A,34,2,A,69.5,0.37,A,16.05,0.19,A,4.71,0.43,A,0.8,0.11,A,3.08,0.07,A,0.38,0.03,A,3.56,0.15,A,0.06,0.05,A,1.78,0.07,A,0.08,0.02,A,,,ND,0.9,DNNO,NR,,,,ND,,,ND,F,100,69.5,6.49,square,#d55e00,N,N,N,N,N,MagmaSat,3488.8,92.21494434,0.993558717,0.000571945,0.006441283,0.000571945
Riker et al. (2015) CMP 170:6,10.1007/s00410-015-1160-5,Dacite,"Mount St. Helens, Washington, USA",Synthetic,SIMS,SIMS,IHPV,PSB63,885,5,A,3500,50,A,7.11,0.16,A,1001,12,A,69.42,0.35,A,16.01,0.19,A,4.7,0.3,A,0.81,0.06,A,3.15,0.07,A,0.36,0.03,A,3.52,0.09,A,0.08,0.07,A,1.84,0.13,A,0.11,0.05,A,,,ND,0.2,DNNO,NR,,,,ND,,,ND,F,100,69.42,6.54,square,#d55e00,N,N,N,N,N,MagmaSat,4172.9,84.0069141,0.764664522,0.012103895,0.235335478,0.012103895
Riker et al. (2015) CMP 170:6,10.1007/s00410-015-1160-5,Dacite,"Mount St. Helens, Washington, USA",Synthetic,SIMS,SIMS,IHPV,PSB64,885,5,A,3500,50,A,6,0.15,A,1408,26,A,69.43,0.33,A,16.07,0.16,A,4.83,0.29,A,0.69,0.11,A,3.11,0.06,A,0.36,0.03,A,3.45,0.12,A,0.06,0.05,A,1.87,0.1,A,0.12,0.04,A,,,ND,0.1,DNNO,NR,,,,ND,,,ND,T,99.99,69.43694369,6.700670067,square,#d55e00,N,N,N,N,N,MagmaSat,4384.2,76.12031943,0.619233771,0.013325628,0.380766229,0.013325628
Riker et al. (2015) CMP 170:6,10.1007/s00410-015-1160-5,Dacite,"Mount St. Helens, Washington, USA",Synthetic,SIMS,SIMS,IHPV,PSB65,885,5,A,4570,50,A,9.62,0.09,A,63,5,A,68.98,0.31,A,16.28,0.19,A,4.71,0.23,A,0.87,0.14,A,3.14,0.06,A,0.36,0.03,A,3.64,0.09,A,0.04,0.04,A,1.87,0.15,A,0.1,0.03,A,,,ND,1.5,DNNO,NR,,,,ND,,,ND,F,99.99,68.98689869,6.580658066,square,#d55e00,N,N,N,N,N,MagmaSat,4195.8,66.71483109,0.991520462,0.000704172,0.008479538,0.000704172
Riker et al. (2015) CMP 170:6,10.1007/s00410-015-1160-5,Dacite,"Mount St. Helens, Washington, USA",Synthetic,SIMS,SIMS,IHPV,PSB66,885,5,A,4570,50,A,7.93,0.29,A,1700,21,A,68.94,0.3,A,16.21,0.19,A,4.88,0.3,A,0.8,0.09,A,3.13,0.07,A,0.37,0.03,A,3.59,0.1,A,0.07,0.07,A,1.9,0.16,A,0.11,0.03,A,,,ND,0.2,DNNO,NR,,,,ND,,,ND,T,100,68.94,6.78,square,#d55e00,N,N,N,N,N,MagmaSat,5563.2,126.5141027,0.722974805,0.019969011,0.277025195,0.019969011
Riker et al. (2015) CMP 170:6,10.1007/s00410-015-1160-5,Dacite,"Mount St. Helens, Washington, USA",Synthetic,SIMS,SIMS,IHPV,PSB67,885,5,A,4570,50,A,6.16,0.09,A,2329,30,A,69.12,0.31,A,16.24,0.21,A,4.98,0.24,A,0.56,0.14,A,3.14,0.07,A,0.37,0.02,A,3.48,0.14,A,0.09,0.07,A,1.92,0.12,A,0.1,0.03,A,,,ND,0.2,DNNO,NR,,,,ND,,,ND,F,100,69.12,6.9,square,#d55e00,N,N,N,N,N,MagmaSat,5881.9,62.53395037,0.519127218,0.009609218,0.480872782,0.009609218
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Basalt,"Stromboli, Italy",Synthetic,FTIR,FTIR,PC,ST-3,1200,,NR,4270,,NR,2.33,0.03,A,3568,30,A,50.03,0.06,A,16.74,0.05,A,2.46,0.04,A,8.03,0.04,A,12.74,0.09,A,0.82,0.02,A,6.56,0.04,A,0.2,0.02,A,1.99,0.03,A,0.41,0.02,A,,,ND,,,,,0.164,0.05,A,0.836,0.05,CALC,F,99.98,50.040008,4.450890178,diamond-wide,#0173b2,N,N,N,N,N,MagmaSat,4657.1,55.6739244,0.192646954,0.004344879,0.807353046,0.004344879
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Basalt,"Stromboli, Italy",Synthetic,FTIR,FTIR,PC,ST-6,1200,,NR,5192,,NR,2.64,0.02,A,5272,18,A,49.72,0.15,A,16.89,0.14,A,2.45,0.04,A,8,0.1,A,12.62,0.08,A,0.81,0.02,A,6.94,0.06,A,0.2,0.02,A,1.96,0.03,A,0.41,0.04,A,,,ND,,,,,0.044,0.05,A,0.956,0.05,CALC,T,100,49.72,4.41,diamond-wide,#0173b2,N,N,N,N,N,MagmaSat,6093.8,60.86547511,0.193985526,0.002648554,0.806014474,0.002648554
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Basalt,"Stromboli, Italy",Synthetic,FTIR,FTIR,PC,ST-4,1200,,NR,6080,,NR,4.16,0.02,A,6068,86,A,49.81,0.27,A,16.65,0.09,A,2.42,0.05,A,8.16,0.03,A,12.75,0.08,A,0.78,0.07,A,6.95,0.11,A,0.2,0.03,A,1.88,0.14,A,0.39,0.05,A,,,ND,,,,,0.209,0.05,A,0.791,0.05,CALC,F,99.99,49.8149815,4.300430043,diamond-wide,#0173b2,N,N,N,N,N,MagmaSat,6704.2,132.8945811,0.35352253,0.00473123,0.64647747,0.00473123
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Phonotephrite,"Erebus, Antarctica",Synthetic,FTIR,FTIR,PC,Z-31,1200,,NR,4078,,NR,2.52,0.05,A,3368,67,A,48.38,0.17,A,19.27,0.13,A,6.16,0.05,A,3.19,0.06,A,6.93,0.07,A,2.81,0.03,A,8.92,0.06,A,0.25,0.02,A,2.89,0.01,A,1.19,0.02,A,,,ND,,,,,0.112,0.05,A,0.888,0.05,CALC,F,99.99,48.38483848,9.050905091,diamond,#fbafe4,N,N,N,N,N,MagmaSat,3456.1,65.37993082,0.263052198,0.007895141,0.736947802,0.007895141
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Phonotephrite,"Erebus, Antarctica",Synthetic,FTIR,FTIR,PC,EB-4,1200,,NR,5247,,NR,2.32,0.03,A,5386,60,A,48.47,0.04,A,19.47,0.07,A,6.1,0.1,A,3.27,0.02,A,7.04,0.05,A,2.86,0.04,A,8.28,0.07,A,0.27,0.02,A,2.95,0.01,A,1.29,0.1,A,,,ND,,,,,0.105,0.05,A,0.895,0.05,CALC,F,100,48.47,9.05,diamond,#fbafe4,N,N,N,N,N,MagmaSat,4895.8,121.4573126,0.180684481,0.00436498,0.819315519,0.00436498
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Phonotephrite,"Erebus, Antarctica",Synthetic,FTIR,FTIR,PC,EB-5,1200,,NR,6175,,NR,2.12,0.02,A,6754,16,A,48.61,0.05,A,19.65,0.11,A,6.18,0.06,A,3.26,0.05,A,7.07,0.04,A,2.86,0.03,A,7.85,0.02,A,0.26,0.01,A,2.98,0.02,A,1.27,0.03,A,,,ND,,,,,0.058,0.05,A,0.942,0.05,CALC,T,99.99,48.61486149,9.160916092,diamond,#fbafe4,N,N,N,N,N,MagmaSat,5729.6,89.88117858,0.139537003,0.002455184,0.860462997,0.002455184
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Trachybasalt,"Etna, Italy",Natural,FTIR,FTIR,PC,Et-8,1200,,NR,4041,,NR,2.68,0.02,A,3996,37,A,48.77,0.09,A,16.98,0.13,A,3.65,0.06,A,6.33,0.05,A,11.26,0.12,A,1.79,0.01,A,8.7,0.14,A,0.18,0.02,A,1.79,0.03,A,0.53,0.01,A,,,ND,,,,,0.222,0.05,A,0.778,0.05,CALC,F,99.98,48.77975595,5.441088218,circle,#56b4e9,N,N,N,N,N,MagmaSat,4376.2,63.13013655,0.255056609,0.004142756,0.744943391,0.004142756
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Trachybasalt,"Etna, Italy",Natural,FTIR,FTIR,PC,Z-22,1200,,NR,4194,,NR,3.35,0.02,A,4426,180,A,48.8,0.24,A,17.37,0.05,A,3.75,0.06,A,6.41,0.05,A,11.42,0.08,A,1.69,0.01,A,8.52,0.18,A,0.18,0.05,A,1.87,0.02,A,0.52,0.03,A,,,ND,,,,,0.209,0.05,A,0.791,0.05,CALC,F,100.53,48.54272357,5.590371034,circle,#56b4e9,N,N,N,N,N,MagmaSat,4678.8,129.2267602,0.333812377,0.007179083,0.666187623,0.007179083
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Trachybasalt,"Etna, Italy",Natural,FTIR,FTIR,PC,Et-9,1200,,NR,5183,,NR,4.24,0.02,A,5395,53,A,48.45,0.17,A,17.16,0.06,A,3.64,0.09,A,6.21,0.07,A,11.16,0.02,A,1.79,0.03,A,8.95,0.1,A,0.18,0.01,A,1.87,0.02,A,0.57,0.02,A,,,ND,,,,,0.232,0.05,A,0.768,0.05,CALC,F,99.98,48.45969194,5.51110222,circle,#56b4e9,N,N,N,N,N,MagmaSat,5535.7,85.50804794,0.416308294,0.004342968,0.583691706,0.004342968
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Trachybasalt,"Etna, Italy",Natural,FTIR,FTIR,PC,Et-5,1200,,NR,6168,,NR,5.19,0.03,A,7072,50,A,48.91,0.19,A,16.94,0.09,A,3.67,0.13,A,6.36,0.11,A,11.18,0.03,A,1.79,0.01,A,8.64,0.06,A,0.19,0.02,A,1.78,0.03,A,0.53,0.02,A,,,ND,,,,,0.259,0.05,A,0.741,0.05,CALC,T,99.99,48.91489149,5.450545055,circle,#56b4e9,N,N,N,N,N,MagmaSat,6778.2,141.2453986,0.474397309,0.005006175,0.525602691,0.005006175
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Trachybasalt,"Etna, Italy",Natural,FTIR,FTIR,PC,Z-15,1200,,NR,6199,,NR,4.53,0.04,A,7659,48,A,49.06,0.02,A,17.22,0.06,A,3.68,0.14,A,6.37,0,A,11.42,0.05,A,1.69,0.01,A,8.54,0.11,A,0.19,0.02,A,1.82,0.06,A,0.52,0.03,A,,,ND,,,,,0.18,0.05,A,0.82,0.05,CALC,F,100.51,48.81106358,5.472092329,circle,#56b4e9,N,N,N,N,N,MagmaSat,6845.7,145.4790415,0.391926623,0.005542856,0.608073377,0.005542856
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Basaltic andesite,"San Francisco Volcanic Field, Arizona, USA",Natural,FTIR,FTIR,PC,SU-7,1200,,NR,4133,,NR,5.27,0.02,A,2040,17,A,53.5,0.21,A,16.75,0.11,A,3.22,0.06,A,6.42,0.09,A,9.32,0.03,A,1.14,0.01,A,7.58,0.05,A,0.17,0.03,A,1.35,0,A,0.74,0.03,A,,,ND,,,,,0.441,0.05,A,0.559,0.05,CALC,F,100.19,53.39854277,4.561333466,cross,#de8f05,N,N,N,N,N,MagmaSat,4467.4,32.5861717,0.613123419,0.003000005,0.386876581,0.003000005
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Basaltic andesite,"San Francisco Volcanic Field, Arizona, USA",Natural,FTIR,FTIR,PC,SU-1,1200,,NR,4255,,NR,2.39,0.02,A,3049,60,A,52.63,0.19,A,17.17,0.07,A,3.3,0.02,A,6.34,0.03,A,9.44,0.03,A,1.16,0.01,A,7.55,0.13,A,0.19,0.02,A,1.41,0.01,A,0.79,0.03,A,,,ND,,,,,0.115,0.05,A,0.885,0.05,CALC,F,99.98,52.64052811,4.710942188,cross,#de8f05,N,N,N,N,N,MagmaSat,4668,71.4920353,0.198120085,0.003879645,0.801879915,0.003879645
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Basaltic andesite,"San Francisco Volcanic Field, Arizona, USA",Natural,FTIR,FTIR,PC,SU-6,1200,,NR,6123,,NR,4.77,0.02,A,4963,56,A,53.12,0.18,A,16.59,0.07,A,3.21,0.08,A,6.75,0.05,A,9.3,0.04,A,1.14,0.03,A,7.68,0.05,A,0.18,0.02,A,1.32,0.02,A,0.7,0.02,A,,,ND,,,,,0.213,0.05,A,0.787,0.05,CALC,T,99.99,53.12531253,4.530453045,cross,#de8f05,N,N,N,N,N,MagmaSat,7042,83.50890595,0.410708432,0.004359018,0.589291568,0.004359018
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Basaltic andesite,"San Francisco Volcanic Field, Arizona, USA",Natural,FTIR,FTIR,PC,SU-2,1200,,NR,6141,,NR,3.9,0.03,A,5520,106,A,52.82,0.13,A,17.29,0.06,A,3.36,0.05,A,6.2,0.09,A,9.26,0.04,A,1.19,0.01,A,7.44,0.03,A,0.17,0.01,A,1.42,0,A,0.82,0.04,A,,,ND,,,,,0.148,0.05,A,0.852,0.05,CALC,F,99.97,52.83585076,4.78143443,cross,#de8f05,N,N,N,N,N,MagmaSat,7445.8,108.759581,0.301275243,0.004541412,0.698724757,0.004541412
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Basalt,"Sunset Crater, Arizona, USA",Natural,FTIR,FTIR,PC,Z-32,1200,,NR,4071,,NR,2.61,0.01,A,3176,56,A,48.21,0.07,A,16.44,0.04,A,3.46,0.05,A,8.58,0.06,A,10.06,0.02,A,1.86,0.01,A,9.92,0.04,A,0.18,0.02,A,0.82,0.01,A,0.47,0.03,A,,,ND,,,,,0.185,0.05,A,0.815,0.05,CALC,F,100,48.21,4.28,star-square,#0173b2,N,N,N,N,N,MagmaSat,3958.6,70.42468575,0.283165539,0.003367068,0.716834461,0.003367068
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Basalt,"Sunset Crater, Arizona, USA",Natural,FTIR,FTIR,PC,SB-3,1200,,NR,5180,,NR,3.32,0.01,A,4535,63,A,48.2,0.25,A,16.56,0.13,A,3.47,0.14,A,8.56,0.06,A,10.08,0.03,A,1.87,0.03,A,9.77,0.08,A,0.19,0.02,A,0.82,0.01,A,0.49,0.03,A,,,ND,,,,,0.145,0.05,A,0.855,0.05,CALC,F,100.01,48.19518048,4.289571043,star-square,#0173b2,N,N,N,N,N,MagmaSat,5221.4,132.6346847,0.330667352,0.004661758,0.669332648,0.004661758
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Basalt,"Sunset Crater, Arizona, USA",Natural,FTIR,FTIR,PC,SB-4,1200,,NR,6098,,NR,4.12,0.01,A,6086,67,A,48.13,0.21,A,16.62,0.07,A,3.47,0.07,A,8.75,0.06,A,10.09,0.05,A,1.84,0.03,A,9.61,0.11,A,0.17,0.03,A,0.81,0.01,A,0.49,0.03,A,,,ND,,,,,0.204,0.05,A,0.796,0.05,CALC,T,99.98,48.13962793,4.280856171,star-square,#0173b2,N,N,N,N,N,MagmaSat,6416.4,93.71696051,0.388458183,0.003667286,0.611541817,0.003667286
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Phonotephrite,"Vesuvius, Italy",Synthetic,FTIR,FTIR,PC,VS-1,1200,,NR,4127,,NR,3.43,0.02,A,4963,53,A,49.2,0.1,A,15.5,0.06,A,1.94,0.07,A,6.79,0.06,A,11.77,0.1,A,0.98,0.02,A,7.01,0.06,A,0.22,0.02,A,5.93,0.07,A,0.64,0.03,A,,,ND,,,,,0.229,0.05,A,0.771,0.05,CALC,T,99.98,49.20984197,7.871574315,x,#fbafe4,N,N,N,N,N,MagmaSat,4177.3,84.92248397,0.34106958,0.004406378,0.65893042,0.004406378
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Phonotephrite,"Vesuvius, Italy",Synthetic,FTIR,FTIR,PC,VS-3,1200,,NR,5198,,NR,2.74,0.03,A,6845,21,A,49.26,0.07,A,15.37,0.04,A,1.9,0.03,A,6.89,0.02,A,11.89,0.04,A,0.99,0.01,A,6.81,0.04,A,0.24,0.02,A,6.01,0.03,A,0.65,0.03,A,,,ND,,,,,0.116,0.05,A,0.884,0.05,CALC,F,100.01,49.25507449,7.909209079,x,#fbafe4,N,N,N,N,N,MagmaSat,4968.8,53.94123252,0.214704601,0.003371327,0.785295399,0.003371327
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Phonotephrite,"Vesuvius, Italy",Synthetic,FTIR,FTIR,PC,Z-33,1200,,NR,6077,,NR,3.95,0.01,A,8501,93,A,49.11,0.14,A,15.38,0.06,A,1.89,0.08,A,6.79,0.01,A,11.86,0.05,A,0.99,0.01,A,7.09,0.03,A,0.22,0.02,A,6.01,0.05,A,0.67,0.03,A,,,ND,,,,,0.125,0.05,A,0.875,0.05,CALC,F,100.01,49.10508949,7.899210079,x,#fbafe4,N,N,N,N,N,MagmaSat,5867.3,115.6086659,0.328673319,0.003869084,0.671326681,0.003869084
Allison et al. (2019) CMP 174:58,10.1007/s00410-019-1592-4,Phonotephrite,"Vesuvius, Italy",Synthetic,FTIR,FTIR,PC,VS-2,1200,,NR,6221,,NR,4.62,0.03,A,9542,40,A,49.37,0.17,A,15.38,0.11,A,1.94,0.02,A,6.75,0.08,A,11.7,0.02,A,0.98,0.02,A,7.12,0.11,A,0.21,0.01,A,5.89,0.02,A,0.65,0.02,A,,,ND,,,,,0.023,0.05,A,0.977,0.05,CALC,F,99.99,49.37493749,7.830783078,x,#fbafe4,N,N,N,N,N,MagmaSat,6567,82.84706611,0.378770778,0.004080488,0.621229222,0.004080488
Fanara et al. (2015) Am. Min. 100(10):2284-2297,10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,ND,IPHPV,TB-1.1,1200,10,A,1000,50,A,3.49,0.07,A,0,,NR,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,1,,NR,0,,CALC,F,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,N,MagmaSat,1149.6,43.76059756,1,0,0,0
Fanara et al. (2015) Am. Min. 100(10):2284-2297,10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,FTIR,IHPV,TB-1.2,1200,10,A,1000,50,A,2.93,0.06,A,545,80,A,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,0.66,,NR,0.34,,CALC,F,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,N,MagmaSat,1513.3,90.47634883,0.653989943,0.032205035,0.346010057,0.032205035
Fanara et al. (2015) Am. Min. 100(10):2284-2297,10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,FTIR,IHPV,TB-1.3,1200,10,A,1000,50,A,2.62,0.15,A,567,80,A,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,0.62,,NR,0.38,,CALC,F,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,N,MagmaSat,1407,115.1239999,0.598909897,0.040033782,0.401090103,0.040033782
Fanara et al. (2015) Am. Min. 100(10):2284-2297,10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,FTIR,IHPV,TB-1.4,1200,10,A,1000,50,A,2.27,0.06,A,772,98,A,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,0.55,,NR,0.45,,CALC,T,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,N,MagmaSat,1485.5,109.6401368,0.464497528,0.032231393,0.535502472,0.032231393
Fanara et al. (2015) Am. Min. 100(10):2284-2297,10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,FTIR,IHPV,TB-1.5,1200,10,A,1000,50,A,1.46,0.13,A,727,102,A,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,0.28,,NR,0.72,,CALC,T,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,N,MagmaSat,1177.3,125.3105637,0.291027334,0.03534089,0.708972666,0.03534089
Fanara et al. (2015) Am. Min. 100(10):2284-2297,10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,ND,IHPV,TB-2.1,1200,10,A,2000,50,A,5.28,0.06,A,0,,NR,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,1,,NR,0,,CALC,F,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,N,MagmaSat,2203.1,57.7996365,1,0,0,0
Fanara et al. (2015) Am. Min. 100(10):2284-2297,10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,FTIR,IHPV,TB-2.2,1200,10,A,2000,50,A,4.91,0.1,A,604,92,A,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,0.78,,NR,0.22,,CALC,F,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,N,MagmaSat,2550.6,117.2911426,0.845859852,0.021054676,0.154140148,0.021054676
Fanara et al. (2015) Am. Min. 100(10):2284-2297,10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,FTIR,IHPV,TB-2.3,1200,10,A,2000,50,A,3.22,0.08,A,1106,100,A,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,0.5,,NR,0.5,,CALC,F,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,N,MagmaSat,2146.3,127.7280492,0.565998047,0.026937481,0.434001953,0.026937481
Fanara et al. (2015) Am. Min. 100(10):2284-2297,10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,FTIR,IHPV,TB-2.4,1200,10,A,2000,50,A,3.78,0.09,A,1003,90,A,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,0.6,,NR,0.4,,CALC,F,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,N,MagmaSat,2319,113.8091615,0.662122812,0.022043296,0.337877188,0.022043296
Fanara et al. (2015) Am. Min. 100(10):2284-2297,10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,FTIR,IHPV,TB-2.5,1200,10,A,2000,50,A,1.87,0.07,A,1305,102,A,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,0.2,,NR,0.8,,CALC,F,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,N,MagmaSat,1941,125.2673908,0.280186347,0.020262538,0.719813653,0.020262538
Fanara et al. (2015) Am. Min. 100(10):2284-2297,10.2138/am-2015-5033,Basalt,"Campi Flegrei, Italy",Synthetic,KFT,FTIR,IHPV,TB-2.6,1200,10,A,2000,50,A,4.08,0.05,A,809,78,A,49.03,0.45,A,16.1,0.55,A,2.85,0.19,A,8.5,0.34,A,12.13,0.48,A,1.28,0.12,A,8.71,0.61,A,,,ND,1.56,0.06,A,,,ND,,,ND,,,,,0.66,,NR,0.34,,CALC,F,100.16,48.95167732,4.402955272,circle,#0173b2,N,N,N,N,N,MagmaSat,2299.5,91.34654848,0.734390544,0.020103951,0.265609456,0.020103951
