Reference,doi,Composition,Location,Material,H2O technique,CO2 technique,Experimental apparatus,Sample,T_C,T_C sd,T_C sd type,P_bar,P_bar sd,P_bar sd type,H2O_wt%,H2O_wt% sd,H2O_wt% sd type,CO2_ppm,CO2_ppm sd,CO2_ppm sd type,SiO2_wt%,SiO2_wt% sd,SiO2_wt% sd type,Al2O3_wt%,Al2O3_wt% sd,Al2O3_wt% sd type,Na2O_wt%,Na2O_wt% sd,Na2O_wt% sd type,MgO_wt%,MgO_wt% sd,MgO_wt% sd type,CaO_wt%,CaO_wt% sd,CaO_wt% sd type,TiO2_wt%,TiO2_wt% sd,TiO2_wt% sd type,FeOT_wt%,FeOT_wt% sd,FeOT_wt% sd type,MnO_wt%,MnO_wt% sd,MnO_wt% sd type,K2O_wt%,K2O_wt% sd,K2O_wt% sd type,P2O5_wt%,P2O5_wt% sd,P2O5_wt% sd type,Fe3_FeT,Fe3_FeT sd,Fe3_FeT sd type,fO2,fO2 unit,fO2 sd,fO2 sd type,XH2Of,XH2Of sd,XH2Of sd type,XCO2f,XCO2f sd,XCO2f sd type,Fit_or_test,volatile-free analytical total,SiO2_n,TA_n,Symbol,Colour,calib_MagmaSat,calib_ShishkinaIdealMixing,calib_IaconoMarziano,calib_Liu,model option,P_bar model,P_bar sd model,xgH2O model,xgH2O sd model,xgCO2 model,xgCO2 sd model
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Basanite,"Fasnia, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,FC4b,1200,5,A,3970,20,A,1.84,0.13,A,5748,287,A,45.85,0.33,A,15.54,0.3,A,3.98,0.12,A,8.12,0.15,A,10.71,0.09,A,3.58,0.16,A,9.69,0.27,A,0.18,0.1,A,1.61,0.1,A,0.75,0.09,A,,,,-1,NNO,,NR,0.08,,NR,0.92,,NR,F,100.01,45.84541546,5.589441056,circle,#ece133,N,N,N,N,IaconoMarziano,4054.915082,186.4906305,0.089223975,0.010796904,0.910776025,0.010796904
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G05,1200,5,A,520,20,A,2.35,0.25,A,0,0,A,48.46,0.25,A,17.82,0.2,A,5.18,0.1,A,4.03,0.08,A,8.6,0.07,A,2.93,0.22,A,9.47,0.26,A,0.2,0.08,A,2.19,0.11,A,1.11,0.15,A,,,,1.4,NNO,,NR,1,,NR,0,,NR,T,99.99,48.46484648,7.370737074,cross,#fbafe4,N,N,N,N,IaconoMarziano,743.3798591,128.2326882,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G1a,1200,5,A,1000,20,A,3.36,0.24,A,0,0,A,48.74,0.39,A,18.07,0.24,A,5.14,0.16,A,3.98,0.07,A,8.65,0.17,A,2.98,0.22,A,8.8,0.27,A,0.24,0.1,A,2.22,0.14,A,1.2,0.19,A,,,,3.18,NNO,,NR,1,,NR,0,,NR,F,100.02,48.73025395,7.358528294,cross,#fbafe4,N,N,N,N,IaconoMarziano,1366.725776,155.2375557,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G1b,1200,5,A,1080,20,A,3.67,0.23,A,0,0,A,49.11,0.35,A,17.98,0.16,A,4.48,0.29,A,4.01,0.09,A,8.59,0.09,A,3,0.13,A,9.31,0.21,A,0.17,0.06,A,2.27,0.08,A,1.07,0.13,A,,,,1.44,NNO,,NR,1,,NR,0,,NR,F,99.99,49.11491149,6.750675068,cross,#fbafe4,N,N,N,N,IaconoMarziano,1583.522865,152.7763362,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G2a,1200,5,A,2100,20,A,5.12,0.3,A,0,0,A,48.88,0.2,A,18,0.2,A,5.02,0.24,A,4,0.08,A,8.62,0.11,A,3.05,0.2,A,8.89,0.2,A,0.19,0.05,A,2.23,0.12,A,1.11,0.2,A,,,,3.25,NNO,,NR,1,,NR,0,,NR,F,99.99,48.88488849,7.250725073,cross,#fbafe4,N,N,N,N,IaconoMarziano,2546.399307,215.8552142,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G2b,1200,5,A,2070,20,A,5.24,0.52,A,0,0,A,48.16,0.18,A,17.61,0.23,A,5.31,0.09,A,4.05,0.06,A,8.62,0.08,A,3.11,0.16,A,9.41,0.2,A,0.2,0.07,A,2.15,0.1,A,1.38,0.13,A,,,,1.38,NNO,,NR,1,,NR,0,,NR,T,100,48.16,7.46,cross,#fbafe4,N,N,N,N,IaconoMarziano,2476.34618,343.6903237,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G3a,1200,5,A,2910,20,A,6.32,0.34,A,0,0,A,50.48,0.39,A,18.49,0.16,A,5.27,0.12,A,3.93,0.08,A,8.81,0.11,A,2.74,0.09,A,6.65,0.19,A,0.14,0.08,A,2.38,0.13,A,1.13,0.13,A,,,,3.18,NNO,,NR,1,,NR,0,,NR,F,100.02,50.46990602,7.648470306,cross,#fbafe4,N,N,N,N,IaconoMarziano,3770.504757,275.1599117,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G4a,1200,5,A,4110,20,A,7.38,0.25,A,0,0,A,48.6,0.26,A,18.09,0.23,A,5.18,0.18,A,3.99,0.07,A,8.66,0.16,A,2.98,0.22,A,8.86,0.34,A,0.25,0.09,A,2.24,0.13,A,1.16,0.17,A,,,,3.22,NNO,,NR,1,,NR,0,,NR,F,100.01,48.59514049,7.419258074,cross,#fbafe4,N,N,N,N,IaconoMarziano,4100.810908,197.0197514,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,G4b,1200,5,A,4130,20,A,7.56,0.4,A,0,0,A,48.58,0.26,A,17.76,0.18,A,5.19,0.08,A,4.02,0.07,A,8.4,0.12,A,3.02,0.16,A,9.54,0.31,A,0.24,0.07,A,2.22,0.17,A,1.02,0.14,A,,,,1.2,NNO,,NR,1,,NR,0,,NR,F,99.99,48.58485849,7.410741074,cross,#fbafe4,N,N,N,N,IaconoMarziano,4101.240188,274.2902263,1,0,0,0
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,GC05,1200,5,A,600,20,A,1.17,0.1,A,278,24,A,50.07,0.29,A,18,0.18,A,5.33,0.09,A,4.02,0.05,A,8.66,0.09,A,3.22,0.16,A,7.08,0.12,A,0.18,0.09,A,2.17,0.08,A,1.27,0.18,A,,,,0.22,NNO,,NR,0.224,,NR,0.776,,NR,F,100,50.07,7.5,cross,#fbafe4,N,N,N,N,IaconoMarziano,512.054535,42.64828634,0.495553351,0.044932078,0.504446649,0.044932078
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,GC1a,1200,5,A,1020,20,A,0.3,0.03,A,620,49,A,48.36,0.25,A,17.81,0.28,A,5.17,0.14,A,4.02,0.06,A,8.51,0.06,A,2.99,0.16,A,9.53,0.17,A,0.25,0.1,A,2.21,0.08,A,1.15,0.17,A,,,,-0.52,NNO,,NR,0.011,,NR,0.989,,NR,F,100,48.36,7.38,cross,#fbafe4,N,N,N,N,IaconoMarziano,589.1534542,48.09313861,0.032578155,0.006643745,0.967421845,0.006643745
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,GC2a,1200,5,A,1940,20,A,0.19,0.02,A,1291,146,A,48.89,0.26,A,17.76,0.13,A,5.37,0.09,A,3.89,0.06,A,8.43,0.1,A,2.87,0.18,A,9.17,0.2,A,0.28,0.07,A,2.26,0.09,A,1.09,0.15,A,,,,-1.89,NNO,,NR,0.002,,NR,0.998,,NR,F,100.01,48.88511149,7.629237076,cross,#fbafe4,N,N,N,N,IaconoMarziano,1114.492232,122.863544,0.00767418,0.001732729,0.99232582,0.001732729
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,GC2b,1200,5,A,2070,20,A,1.27,0.11,A,1419,93,A,48.9,0.25,A,17.85,0.18,A,5.52,0.09,A,4.07,0.05,A,8.62,0.11,A,3.14,0.12,A,8.16,0.12,A,0.19,0.1,A,2.25,0.09,A,1.29,0.14,A,,,,-0.89,NNO,,NR,0.074,,NR,0.926,,NR,F,99.99,48.90489049,7.770777078,cross,#fbafe4,N,N,N,N,IaconoMarziano,1357.793073,77.36317435,0.204627275,0.028729413,0.795372725,0.028729413
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,GC3b,1200,5,A,2940,20,A,1.35,0.12,A,2166,134,A,50.03,0.3,A,18.2,0.17,A,5.46,0.12,A,4.06,0.08,A,8.69,0.14,A,2.94,0.18,A,7.22,0.26,A,0.16,0.1,A,2.29,0.11,A,0.94,0.26,A,,,,-1.24,NNO,,NR,0.057,,NR,0.943,,NR,T,99.99,50.0350035,7.750775078,cross,#fbafe4,N,N,N,N,IaconoMarziano,1984.5706,111.4373588,0.16738978,0.023758819,0.83261022,0.023758819
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,GC4a,1200,5,A,3990,20,A,0.25,0.03,A,3046,249,A,49.14,0.37,A,17.72,0.13,A,5.43,0.13,A,4.18,0.06,A,8.62,0.17,A,2.94,0.16,A,8.19,0.27,A,0.16,0.12,A,2.35,0.16,A,1.27,0.12,A,,,,-2.16,NNO,,NR,0.002,,NR,0.998,,NR,F,100,49.14,7.78,cross,#fbafe4,N,N,N,N,IaconoMarziano,2324.948737,180.1546312,0.006361499,0.001466671,0.993638501,0.001466671
Jiménez-Mejías et al. (2021),10.5802/crgeos.84,Phonotephrite,"Garachico, Tenerife, Canary Islands",Natural,FTIR,FTIR,IHPV,GC4b,1200,5,A,4130,20,A,1.54,0.13,A,3356,235,A,49.94,0.3,A,18.09,0.17,A,5.6,0.12,A,4.04,0.08,A,8.73,0.14,A,3.03,0.18,A,7.12,0.26,A,0.18,0.1,A,2.25,0.11,A,1.02,0.26,A,,,,-1.4,NNO,,NR,0.048,,NR,0.952,,NR,F,100,49.94,7.85,cross,#fbafe4,N,N,N,N,IaconoMarziano,2737.307554,161.6610199,0.156126684,0.022294509,0.843873316,0.022294509
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,FTIR,FTIR,IPHV,A2549 B-13,1250,10,A,500,50,A,0.87,0.12,A,614,71,A,46.05,0.23,A,12.89,0.11,A,4.01,0.11,A,11.96,0.17,A,12.32,0.34,A,2.73,0.09,A,10.09,0.57,A,0.32,0.06,A,0.98,0.05,A,,,ND,0.24,,NR,1.35,DNNO,,NR,,,ND,,,,F,101.35,45.43660582,4.923532314,square,#ece133,N,Y,N,N,IaconoMarziano,512.21362,56.1602959,0.113030708,0.029432532,0.886969292,0.029432532
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 12,1250,10,A,1000,50,A,3.17,0.12,A,127,15,A,43.13,0.4,A,12.14,0.14,A,3.38,0.21,A,11.52,0.22,A,11.38,0.35,A,2.55,0.07,A,11.29,0.25,A,0.23,0.09,A,0.93,0.07,A,,,ND,0.44,,NR,2.77,DNNO,,NR,0.91,,NR,0.09,,CALC,F,96.55,44.67115484,4.464008286,square,#ece133,Y,Y,N,N,IaconoMarziano,564.2938345,33.61016489,0.871041636,0.016864206,0.128958364,0.016864206
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,ND,IPHV,A2549 B11,1250,10,A,1000,50,A,3.13,0.14,A,0,0,A,42.94,0.3,A,12.01,0.35,A,3.34,0.26,A,11.14,0.14,A,11.39,0.19,A,2.5,0.08,A,11.32,0.5,A,0.26,0.1,A,3.34,0.26,A,,,ND,0.46,,NR,2.76,DNNO,,NR,1,,NR,0,,CALC,T,98.24,43.70928339,6.799674267,square,#ece133,Y,Y,N,N,IaconoMarziano,457.4582064,36.05028377,1,0,0,0
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,FTIR,FTIR,IPHV,A2549 14,1250,10,A,1000,50,A,0.97,0.1,A,1771,209,A,44,0.55,A,12.35,0.21,A,3.77,0.11,A,12.12,0.15,A,12.2,0.17,A,2.57,0.07,A,10.77,0.47,A,0.26,0.1,A,0.93,0.05,A,,,ND,0.26,,NR,1.18,DNNO,,NR,0.07,,NR,0.93,,CALC,F,98.97,44.45791654,4.748913812,square,#ece133,Y,Y,N,N,IaconoMarziano,1188.776483,133.6908497,0.055650663,0.012017263,0.944349337,0.012017263
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,FTIR,FTIR,IPHV,A2549 13,1250,10,A,1000,50,A,0.5,0.06,A,1411,168,A,47.35,0.79,A,12.81,0.34,A,3.88,0.19,A,11.45,0.51,A,12.08,0.75,A,2.68,0.12,A,7.12,0.37,A,0.17,0.07,A,1.04,0.12,A,,,ND,0.2,,NR,0.08,DNNO,,NR,,,ND,,,,F,98.58,48.03205518,4.990870359,square,#ece133,N,Y,N,N,IaconoMarziano,1295.821975,190.353311,0.019765407,0.005199541,0.980234593,0.005199541
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 51,1250,10,A,1000,50,A,0.86,0.12,A,1500,178,A,44.75,0.25,A,12.54,0.25,A,3.6,0.24,A,11.71,0.32,A,11.88,0.13,A,2.67,0.05,A,10.68,0.45,A,0.16,0.06,A,0.95,0.05,A,,,ND,0.25,,NR,0.96,DNNO,,NR,0.03,,NR,0.97,,CALC,F,98.94,45.22943198,4.598746715,square,#ece133,Y,Y,N,N,IaconoMarziano,1189.860066,149.8098717,0.049419873,0.014011908,0.950580127,0.014011908
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,FTIR,FTIR,IPHV,A2549 B-4,1250,10,A,2000,50,A,0.88,0.12,A,3130,366,A,45.2,0.27,A,12.65,0.42,A,3.92,0.18,A,11.52,0.05,A,11.83,0.26,A,2.7,0.09,A,9.81,0.32,A,0.1,0.13,A,1.01,0.04,A,,,ND,0.21,,NR,0.67,DNNO,,NR,,,ND,,,,T,98.74,45.77678752,4.992910674,square,#ece133,N,Y,N,N,IaconoMarziano,2148.841283,232.7099757,0.030175299,0.008096312,0.969824701,0.008096312
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,FTIR,FTIR,IPHV,A2549 B-12,1250,10,A,3000,50,A,1.06,0.15,A,5509,642,A,45.31,0.42,A,12.62,0.39,A,3.92,0.17,A,11.89,0.2,A,12.06,0.2,A,2.65,0.03,A,9.89,0.32,A,0.29,0.1,A,0.96,0.04,A,,,ND,0.21,,NR,0.8,DNNO,,NR,,,ND,,,,F,99.59,45.4965358,4.900090371,square,#ece133,N,Y,N,N,IaconoMarziano,3246.926638,335.9556525,0.027561072,0.007621258,0.972438928,0.007621258
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 18,1250,10,A,5000,50,A,5.82,0.12,A,6716,795,A,41.84,0.42,A,11.61,0.16,A,3.18,0.29,A,10.64,0.34,A,11.42,0.54,A,2.49,0.07,A,10.93,0.46,A,0.15,0.12,A,0.96,0.08,A,,,ND,0.45,,NR,2.74,DNNO,,NR,0.64,,NR,0.36,,CALC,F,93.22,44.8830723,4.441107059,square,#ece133,Y,Y,N,N,IaconoMarziano,3351.944742,299.2059628,0.387351737,0.027354234,0.612648263,0.027354234
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 48,1250,10,A,5000,50,A,3.48,0.13,A,7368,885,A,42.56,0.24,A,11.85,0.21,A,3.59,0.1,A,11.16,0.16,A,11.42,0.49,A,2.52,0.05,A,10.99,0.32,A,0.22,0.18,A,0.87,0.04,A,,,ND,0.95,,NR,2.21,DNNO,,NR,0.27,,NR,0.73,,CALC,F,95.18,44.71527632,4.685858374,square,#ece133,Y,Y,N,N,IaconoMarziano,3499.063532,318.0464209,0.176568524,0.017312583,0.823431476,0.017312583
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 19,1250,10,A,5000,50,A,0.5,0.12,A,7654,895,A,44.23,0.41,A,12.53,0.14,A,3.64,0.15,A,11.73,0.22,A,12.23,0.41,A,2.73,0.05,A,9.87,0.33,A,0.24,0.13,A,1.03,0.08,A,,,ND,0.14,,NR,-0.54,DNNO,,NR,,,ND,,,,T,98.23,45.0269775,4.754148427,square,#ece133,N,Y,N,N,IaconoMarziano,4302.903898,445.5280339,0.005416901,0.00240313,0.994583099,0.00240313
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basanite,Rutki-Ligota,Natural,KFT,FTIR,IPHV,A2549 47,1250,10,A,5000,50,A,0.27,0.12,A,7159,844,A,48.33,0.46,A,13.81,0.23,A,3.9,0.19,A,10.37,0.28,A,12.31,0.37,A,2.89,0.04,A,6.45,0.47,A,0.22,0.06,A,1.02,0.06,A,,,ND,0.13,,NR,-1.62,DNNO,,NR,,,ND,,,,F,99.3,48.67069486,4.954682779,square,#ece133,N,Y,N,N,IaconoMarziano,5359.931248,499.6321057,0.002248231,0.001623585,0.997751769,0.001623585
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,FTIR,FTIR,IHPV,B2507 B-17,1250,10,A,500,50,A,0.9,0.12,A,192,22,A,49.4,0.31,A,14.18,0.27,A,3.77,0.16,A,10.03,0.19,A,10.25,0.27,A,2.47,0.06,A,9.58,0.23,A,0.09,0.09,A,0.85,0.05,A,,,ND,0.201067616,,NR,1.350348587,DNNO,,ND,,,ND,,,,T,100.62,49.09560724,4.591532499,triangle-up,#0173b2,N,Y,N,N,IaconoMarziano,335.340274,35.07326966,0.261152295,0.053145204,0.738847705,0.053145204
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 21,1250,10,A,1000,50,A,3.31,0.13,A,0,0,A,46.91,0.27,A,13.47,0.04,A,3.2,0.24,A,9.53,0.16,A,9.7,0.25,A,2.3,0.05,A,10.34,0.54,A,0.19,0.12,A,0.78,0.03,A,,,ND,0.436681223,,NR,2.786825114,DNNO,,ND,0.920343435,,NR,0.079656565,,CALC,F,96.42,48.65173201,4.127774321,triangle-up,#0173b2,Y,Y,N,N,IaconoMarziano,764.4185979,51.40657217,1,0,0,0
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 22,1250,10,A,1000,50,A,3.15,0.12,A,0,0,A,46.66,0.22,A,13.47,0.46,A,3.08,0.15,A,9.63,0.21,A,9.58,0.26,A,2.36,0.07,A,10.39,0.26,A,0.19,0.12,A,0.74,0.08,A,,,ND,0.407572816,,NR,2.736825114,DNNO,,ND,0.837457062,,NR,0.162542938,,CALC,F,96.1,48.55359001,3.975026015,triangle-up,#0173b2,Y,Y,N,N,IaconoMarziano,710.0667315,49.05757416,1,0,0,0
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 23,1250,10,A,1000,50,A,2.45,0.13,A,219,26,A,47.17,0.45,A,13.58,0.31,A,3.21,0.15,A,9.87,0.28,A,9.83,0.35,A,2.43,0.04,A,10.37,0.36,A,0.17,0.08,A,0.74,0.05,A,,,ND,0.369113573,,NR,2.416825114,DNNO,,ND,0.652798613,,NR,0.347201387,,CALC,F,97.37,48.44407929,4.056690973,triangle-up,#0173b2,Y,Y,N,N,IaconoMarziano,708.7132339,50.36136706,0.663862747,0.0361871,0.336137253,0.0361871
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 24,1250,10,A,1000,50,A,1.24,0.11,A,638,77,A,47.92,0.64,A,13.85,0.32,A,3.38,0.22,A,9.86,0.47,A,9.82,0.18,A,2.47,0.07,A,10.29,0.55,A,0.07,0.11,A,0.79,0.07,A,,,ND,0.256725459,,NR,1.476825114,DNNO,,ND,0.204915979,,NR,0.795084021,,CALC,F,98.45,48.67445404,4.235652616,triangle-up,#0173b2,Y,Y,N,N,IaconoMarziano,948.3584206,104.9702152,0.162227534,0.029159113,0.837772466,0.029159113
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 25,1250,10,A,1000,50,A,0.85,0.12,A,750,88,A,48.49,0.39,A,14.14,0.19,A,3.47,0.31,A,10.09,0.28,A,10.09,0.37,A,2.45,0.06,A,9.58,0.42,A,0.2,0.1,A,0.79,0.07,A,,,ND,0.199116821,,NR,0.916825114,DNNO,,ND,0.192078941,,NR,0.807921059,,CALC,T,99.3,48.83182276,4.290030211,triangle-up,#0173b2,Y,Y,N,N,IaconoMarziano,1043.808436,127.2465386,0.077204718,0.02087394,0.922795282,0.02087394
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,FTIR,FTIR,IHPV,B2507 B-5,1250,10,A,2000,50,A,1.19,0.17,A,1213,148,A,49.96,0.52,A,14.27,0.31,A,3.55,0.15,A,9.9,0.39,A,10.36,0.15,A,2.45,0.04,A,8.4,0.27,A,0.3,0.07,A,0.83,0.01,A,,,ND,0.166315789,,NR,1.089778167,DNNO,,ND,,,ND,,,,F,100.02,49.95001,4.379124175,triangle-up,#0173b2,N,Y,N,N,IaconoMarziano,1683.088338,183.8062863,0.094576997,0.025702022,0.905423003,0.025702022
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 29,1250,10,A,5000,50,A,3.44,0.12,A,5440,748,A,46.42,0.3,A,13.4,0.1,A,3.06,0.13,A,9.52,0.11,A,9.42,0.18,A,2.29,0.05,A,10.18,0.39,A,0.17,0.07,A,0.76,0.05,A,,,ND,0.330850131,,NR,2.168637326,DNNO,,ND,0.308744837,,NR,0.691255163,,CALC,F,95.22,48.75026255,4.011762235,triangle-up,#0173b2,Y,Y,N,N,IaconoMarziano,4673.929551,426.5436921,0.19834428,0.019376025,0.80165572,0.019376025
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 30,1250,10,A,5000,50,A,0.65,0.12,A,5413,809,A,47.71,0.49,A,13.77,0.28,A,3.34,0.19,A,9.9,0.31,A,9.85,0.23,A,2.42,0.06,A,10.26,0.14,A,0.14,0.04,A,0.84,0.06,A,,,ND,0.211143166,,NR,-0.171362674,DNNO,,ND,0,,NR,1,,CALC,F,98.23,48.5696834,4.255319149,triangle-up,#0173b2,Y,Y,N,N,IaconoMarziano,5049.868253,581.3278776,0.011066414,0.003951511,0.988933586,0.003951511
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,Mecinka,Natural,KFT,FTIR,IHPV,B2507 52,1250,10,A,5000,50,A,0.26,0.12,A,4852,567,A,52.58,1.32,A,15.08,0.59,A,3.8,0.3,A,8.95,0.7,A,9.83,0.51,A,2.58,0.08,A,5.18,0.79,A,0.16,0.05,A,0.96,0.05,A,,,ND,0.126352735,,NR,-1.731362674,DNNO,,ND,0.27,,NR,0.73,,CALC,F,99.12,53.04681195,4.802259887,triangle-up,#0173b2,Y,Y,N,N,IaconoMarziano,5578.237479,556.0343515,0.003045014,0.002446492,0.996954986,0.002446492
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,MORB: Mid-Atlantic Ridge,Natural,FTIR,FTIR,IHPV,169oxi-B-14,1250,10,A,500,50,A,0.72,0.1,A,211,26,A,51.81,0.25,A,18.33,0.2,A,2.58,0.12,A,7.21,0.42,A,12.52,0.44,A,1.32,0.13,A,7.56,0.22,A,0.18,0.1,A,0.25,0.06,A,,,ND,0.698324022,,NR,0.960348587,DNNO,,ND,,,ND,,,,F,101.76,50.91391509,2.781053459,triangle-down,#0173b2,N,Y,N,N,IaconoMarziano,549.8739256,59.82729368,0.160496215,0.039804282,0.839503785,0.039804282
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,MORB: Mid-Atlantic Ridge,Natural,KFT,FTIR,IHPV,169oxi-20,1200,10,A,5000,50,A,8.85,0.1,A,0,0,A,45.59,0.22,A,16.25,0.21,A,2.45,0.21,A,6.17,0.11,A,11.53,0.21,A,1.2,0.04,A,8.3,0.13,A,0.21,0.05,A,0.26,0.03,A,,,ND,,,ND,3.086497903,DNNO,,ND,1,,NR,0,,CALC,F,91.96,49.57590257,2.946933449,triangle-down,#0173b2,Y,Y,N,N,IaconoMarziano,4190.579225,102.1805886,1,0,0,0
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,MORB: Mid-Atlantic Ridge,Natural,KFT,FTIR,IHPV,169oxi-19,1200,10,A,5000,50,A,7.36,0.07,A,1190,75,A,46.76,0.28,A,16.51,0.19,A,2.42,0.13,A,6.61,0.57,A,11.47,0.45,A,1.21,0.05,A,8.32,0.47,A,0.21,0.07,A,0.23,0.03,A,,,ND,,,ND,2.896497903,DNNO,,ND,0.553111251,,NR,0.446888749,,CALC,T,93.74,49.88265415,2.82696821,triangle-down,#0173b2,Y,Y,N,N,IaconoMarziano,4170.013734,201.0884244,0.825420017,0.010459202,0.174579983,0.010459202
Shishkina et al. (2014) Chem Geol,10.1016/j.chemgeo.2014.09.001,Basalt,MORB: Mid-Atlantic Ridge,Natural,KFT,FTIR,IHPV,169oxi-18,1200,10,A,5000,50,A,5.99,0.09,A,2895,183,A,47.83,0.24,A,16.72,0.17,A,2.56,0.05,A,6.42,0.13,A,11.69,0.08,A,1.31,0.06,A,8.43,0.23,A,0.21,0.06,A,0.25,0.04,A,,,ND,,,ND,2.696497903,DNNO,,ND,0.45915797,,NR,0.54084203,,CALC,F,95.42,50.1257598,2.944875288,triangle-down,#0173b2,Y,Y,N,N,IaconoMarziano,4841.676412,135.4100781,0.576734013,0.015368461,0.423265987,0.015368461
